code,description,type,package_line_level,gross_charge,discounted_cash_price,de_identified_min_contracted_rate,de_identified_max_contracted_rate,derived_contracted_rate,1199_commercial_other,aetna_medicare_advantage_hmo,aetna_commercial_hmo_pos,aetna_commercial_ppo_open_access,aetna_commercial_other,empire_health_commercial_other,empire_health_commercial_ppo_open_access,bluecross_blueshield_commercial_other,beacon_health_commercial_other,carelon_health_commercial_other,cigna_commercial_ppo_open_access,cigna_commercial_other,cigna_commercial_hmo_pos,eh_facet_commercial_other,emblemhealth_commercial_ppo_open_access,emblemhealth_commercial_other,emblemhealth_commercial_hmo_pos,emblemhealth_medicaid_hmo,emblemhealth_medicare_advantage_hmo,empire_health_commercial_hmo_pos,empire_health_medicare_advantage_hmo,empire_health_medicaid_hmo,evernorth_commercial_other,fidelis_commercial_other,fidelis_medicare_advantage_hmo,fidelis_medicaid_hmo,ghi_commercial_other,healthfirst_commercial_other,healthfirst_medicare_advantage_hmo,healthfirst_medicaid_hmo,healthplus_hp_medicaid_hmo,healthplus_hp_commercial_other,healthplus_hp_medicare_advantage_hmo,humana_commercial_other,humana_commercial_hmo_pos,humana_commercial_ppo_open_access,meritain_health_commercial_other,molina_commercial_other,optum_commercial_other,oxford_commercial_other,oxford_commercial_hmo_pos,tricare_commercial_other,united_healthcare_commercial_other,united_healthcare_medicare_advantage_hmo,united_healthcare_commercial_hmo_pos,united_healthcare_medicaid_hmo,united_healthcare_commercial_ppo_open_access,veteran_family_commercial_other
10004,"FINE NEEDLE ASPIRATION BIOPSY, EACH ADDITIONAL GROWTH",Outpatient,Line,718.67,718.67,2155.5,2155.5,2155.5,,,,,,2155.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10005,"FINE NEEDLE ASPIRATION BIOPSY USING ULTRASOUND GUIDANCE, FIRST GROWTH",Outpatient,Line,2061.25,2061.25,87.02,4782.0,2308.44,2411.0,714.86,4707.0,,,3594.71,4101.0,,,,,,,,,729.16,,,,3485.0,,,,,,615.37,,87.02,,,278.38,,,,,,,,,4782.0,,,3845.25,,,658.94,,
10005,"FINE NEEDLE ASPIRATION BIOPSY USING ULTRASOUND GUIDANCE, FIRST GROWTH",Outpatient,Package,2061.25,2061.25,87.02,4782.0,2308.44,2411.0,714.86,4707.0,,,3594.71,4101.0,,,,,,,,,729.16,,,,3485.0,,,,,,615.37,,87.02,,,278.38,,,,,,,,,4782.0,,,3845.25,,,658.94,,
10006,"FINE NEEDLE ASPIRATION BIOPSY USING ULTRASOUND GUIDANCE, EACH ADDITIONAL GROWTH",Outpatient,Line,728.54,728.54,58.55,1761.25,909.9,,,,,,1761.25,,,,,,,,,,,,,,,,,,,,,,58.55,,,,,,,,,,,,,,,,,,,,
10009,"FINE NEEDLE ASPIRATION BIOPSY OF GROWTH USING CT GUIDANCE, FIRST GROWTH",Outpatient,Line,2823.01,2823.01,446.28,6017.59,4219.31,4592.0,,,4822.0,,4311.0,,,,,,,,,,446.28,6017.59,,,,,,,,,,,,,,,,,,,,,,,,,,5127.0,,,,,
10009,"FINE NEEDLE ASPIRATION BIOPSY OF GROWTH USING CT GUIDANCE, FIRST GROWTH",Outpatient,Package,2823.01,2823.01,446.28,6017.59,4219.31,4592.0,,,4822.0,,4311.0,,,,,,,,,,446.28,6017.59,,,,,,,,,,,,,,,,,,,,,,,,,,5127.0,,,,,
10010,"FINE NEEDLE ASPIRATION BIOPSY OF GROWTH USING CT GUIDANCE, EACH ADDITIONAL GROWTH",Outpatient,Line,588.0,588.0,2155.5,2155.5,2155.5,,,,,,2155.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10021,"FINE NEEDLE ASPIRATION BIOPSY, FIRST GROWTH",Outpatient,Line,1566.78,1566.78,275.46,2265.5,1270.48,,,,,,2265.5,,,,,,,,,,,,,,,,,,,,275.46,,,,,,,,,,,,,,,,,,,,,,
10021,"FINE NEEDLE ASPIRATION BIOPSY, FIRST GROWTH",Outpatient,Package,1566.78,1566.78,275.46,2265.5,1270.48,,,,,,2265.5,,,,,,,,,,,,,,,,,,,,275.46,,,,,,,,,,,,,,,,,,,,,,
10030,DRAINAGE OF FLUID COLLECTION IN SOFT TISSUE USING IMAGING GUIDANCE,Outpatient,Line,2082.05,2082.05,152.66,4101.0,1663.85,,,,,,4101.0,2316.5,,,,,,,,,1016.2,,,,,,,,,,732.87,,152.66,,,,,,,,,,,,,,,,,,,,
